測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
13101010,2020/12/01,01,,,,,,0.018,,,,0.007,9,,N,1.1,10.3,75.4
13101010,2020/12/01,02,0.001,0,0.014,0.014,,0.018,,,,0.015,8,,CALM,0.2,10.5,74.3
13101010,2020/12/01,03,0.001,0,0.014,0.014,,0.019,,,,0.006,7,,WNW,1.1,10.3,71.4
13101010,2020/12/01,04,0.001,0,0.018,0.018,,0.018,,,,0.013,3,,N,0.6,9.6,59.3
13101010,2020/12/01,05,0,0,0.018,0.018,,0.015,,,,0.007,8,,NNE,0.6,8.3,64.0
13101010,2020/12/01,06,0.001,0.001,0.021,0.022,,0.008,,,,0.009,10,,NNW,0.8,7.7,65.8
13101010,2020/12/01,07,0.001,0.003,0.023,0.026,,0.007,,,,0.004,12,,N,0.6,7.4,73.1
13101010,2020/12/01,08,0.001,0.012,0.021,0.033,,0.005,,,,0.016,17,,NNW,1.2,7.5,76.9
13101010,2020/12/01,09,0.001,0.017,0.021,0.038,,0.008,,,,0.018,12,,N,0.8,8.9,67.1
13101010,2020/12/01,10,0.001,0.012,0.021,0.033,,0.014,,,,0.012,11,,NW,0.4,9.9,62.0
13101010,2020/12/01,11,0.001,0.010,0.022,0.032,,0.017,,,,0.011,14,,NW,0.6,11.4,61.3
13101010,2020/12/01,12,0.001,0.007,0.020,0.027,,0.022,,,,0.011,11,,N,0.5,12.3,55.2
13101010,2020/12/01,13,0.001,0.006,0.020,0.026,,0.025,,,,0.012,11,,NW,0.6,13.2,52.8
13101010,2020/12/01,14,0.001,0.004,0.019,0.023,,0.026,,,,0.007,9,,E,0.3,14.0,46.9
13101010,2020/12/01,15,0,0.002,0.017,0.019,,0.029,,,,0.008,7,,E,0.3,14.3,44.7
13101010,2020/12/01,16,0,0.001,0.017,0.018,,0.029,,,,0.011,8,,CALM,0.2,14.1,46.0
13101010,2020/12/01,17,0,0.001,0.018,0.019,,0.028,,,,0.008,9,,ESE,0.6,13.7,51.1
13101010,2020/12/01,18,0,0.001,0.023,0.024,,0.022,,,,0.015,8,,E,0.5,13.5,56.6
13101010,2020/12/01,19,0.001,0.001,0.020,0.021,,0.022,,,,0.014,10,,ESE,0.7,12.5,57.9
13101010,2020/12/01,20,0.001,0.001,0.020,0.021,,0.022,,,,0.011,10,,E,0.5,12.2,60.9
13101010,2020/12/01,21,0,0,0.018,0.018,,0.023,,,,0.010,9,,ENE,0.4,11.8,63.1
13101010,2020/12/01,22,0.001,0.001,0.018,0.019,,0.022,,,,0.012,8,,CALM,0.2,11.4,64.8
13101010,2020/12/01,23,0.001,0,0.016,0.016,,0.024,,,,0.005,5,,NW,0.3,10.8,64.5
13101010,2020/12/01,24,0,0.001,0.018,0.019,,0.020,,,,0.002,8,,NNW,1.1,9.6,71.4
13101010,2020/12/02,01,0.001,0,0.020,0.020,,0.015,,,,0.013,11,,NNW,0.6,9.5,71.1
13101010,2020/12/02,02,0.001,0,0.017,0.017,,0.017,,,,0.011,10,,N,0.7,9.5,70.6
13101010,2020/12/02,03,0.001,0,0.017,0.017,,0.016,,,,0.010,8,,N,0.6,9.3,66.8
13101010,2020/12/02,04,0.001,0,0.017,0.017,,0.014,,,,0.009,7,,NNW,0.8,9.0,64.8
13101010,2020/12/02,05,0.001,0,0.016,0.016,,0.014,,,,0.015,10,,N,0.8,9.2,62.3
13101010,2020/12/02,06,0,0,0.016,0.016,,0.013,,,,0.001,7,,NNE,1.2,9.1,62.2
13101010,2020/12/02,07,0,0.001,0.021,0.022,,0.009,,,,0.003,9,,NNW,1.5,8.9,63.1
13101010,2020/12/02,08,0,0.005,0.024,0.029,,0.007,,,,0.014,7,,NNW,1.4,9.0,61.9
13101010,2020/12/02,09,0.001,0.007,0.024,0.031,,0.009,,,,0.006,9,,N,0.9,9.8,60.9
13101010,2020/12/02,10,0.001,0.011,0.027,0.038,,0.007,,,,0.006,9,,NW,1.0,9.8,61.7
13101010,2020/12/02,11,0.001,0.009,0.025,0.034,,0.009,,,,0.021,8,,N,1.2,9.7,61.8
13101010,2020/12/02,12,,,,,,,,,,,8,,NNE,0.7,9.6,65.6
13101010,2020/12/02,13,0.001,0.005,0.020,0.025,,0.013,,,,0.011,12,,ENE,0.6,9.9,68.6
13101010,2020/12/02,14,0.001,0.004,0.019,0.023,,0.016,,,,0.004,11,,N,0.6,9.5,77.1
13101010,2020/12/02,15,0,0.002,0.017,0.019,,0.019,,,,0,7,,NNE,0.6,9.3,78.4
13101010,2020/12/02,16,0,0.002,0.017,0.019,,0.019,,,,0.006,9,,E,0.4,8.3,84.2
13101010,2020/12/02,17,0,0.001,0.018,0.019,,0.017,,,,0.013,10,,ENE,0.4,8.2,89.2
13101010,2020/12/02,18,0,0.001,0.018,0.019,,0.017,,,,0.010,10,,N,0.3,8.1,90.5
13101010,2020/12/02,19,0,0.001,0.017,0.018,,0.018,,,,0.015,11,,N,0.7,8.0,91.2
13101010,2020/12/02,20,0,0.001,0.017,0.018,,0.019,,,,0.014,13,,N,1.3,7.9,92.1
13101010,2020/12/02,21,0,0.001,0.014,0.015,,0.022,,,,0.013,14,,NNW,1.0,7.9,92.1
13101010,2020/12/02,22,0,0,0.013,0.013,,0.023,,,,0.007,10,,NNW,1.2,7.9,92.3
13101010,2020/12/02,23,0,0,0.011,0.011,,0.023,,,,0.014,9,,N,0.9,7.8,90.7
13101010,2020/12/02,24,0,0,0.011,0.011,,0.022,,,,0.012,10,,N,0.9,8.0,89.3
13101010,2020/12/03,01,0,0,0.011,0.011,,0.021,,,,0.011,11,,N,0.8,8.2,88.3
13101010,2020/12/03,02,0,0,0.010,0.010,,0.021,,,,0.011,9,,WNW,0.4,8.5,86.9
13101010,2020/12/03,03,0,0,0.011,0.011,,0.019,,,,0.010,12,,WNW,0.6,8.1,86.8
13101010,2020/12/03,04,0,0,0.012,0.012,,0.016,,,,0.013,13,,N,0.6,7.8,90.9
13101010,2020/12/03,05,0,0,0.011,0.011,,0.017,,,,0.012,11,,NW,1.6,7.2,90.4
13101010,2020/12/03,06,0,0,0.009,0.009,,0.021,,,,0.007,9,,N,1.2,7.4,90.7
13101010,2020/12/03,07,0,0.001,0.012,0.013,,0.018,,,,0.013,12,,NW,0.7,7.6,89.0
13101010,2020/12/03,08,0,0.003,0.017,0.020,,0.010,,,,0.017,18,,NNW,0.7,7.6,87.4
13101010,2020/12/03,09,0,0.006,0.020,0.026,,0.008,,,,0.022,18,,WNW,0.5,8.2,85.9
13101010,2020/12/03,10,0,0.008,0.022,0.030,,0.008,,,,0.021,20,,NNE,0.3,8.3,86.3
13101010,2020/12/03,11,0,0.009,0.023,0.032,,0.009,,,,0.021,20,,NW,0.6,8.7,85.8
13101010,2020/12/03,12,0,0.008,0.023,0.031,,0.010,,,,0.026,24,,NNE,0.4,9.1,85.5
13101010,2020/12/03,13,0,0.007,0.021,0.028,,0.013,,,,0.027,25,,N,0.6,9.6,82.9
13101010,2020/12/03,14,0.001,0.009,0.023,0.032,,0.013,,,,0.027,26,,N,0.9,10.3,81.7
